value,synonyms,entity
RUCHONNET Jean-François,Ruchonnet:Jean François,Candidat_GC
GALETTO Frédéric,Galetto:Frederic,Candidat_GC
BECK Victoria,Beck:Victoria,Candidat_GC
ANTOINE Jean-Marc,Antoine:Jean Marc,Candidat_GC
RIME Fatma,Rime:Fatma,Candidat_GC
L'HUILLIER Eric,Lhuillier:Eric,Candidat_GC
PARANÁ JÚNIOR Valério,Paraná:Júnior:Valerio,Candidat_GC
LOTA Raphaëlle,Lota:Raphaëlle,Candidat_GC
THOMSEN Elena,Thomsen:Elena,Candidat_GC
BALLESTEROS Stefan,Ballesteros:Stefan,Candidat_GC
FABRE Jean,Fabre:Jean,Candidat_GC
NGUYEN Van Minh,Nguyen:Van:Minh,Candidat_GC
MARTEL Frédéric,Martel:Frederic,Candidat_GC
FREY Priscilla,Frey:Priscilla,Candidat_GC
BRKIC Vitomir,Brkic:Vitomir,Candidat_GC
LEVY Yossef,Levy:Yossef,Candidat_GC
BISSOLI Marion,Bissoli:Marion,Candidat_GC
COHEN Olivier,Cohen:Olivier,Candidat_GC
BRUGUIER Michel,Bruguier:Michel,Candidat_GC
SOLTEIRO Jorge,Solteiro:Jorge,Candidat_GC
HALIMI Arsim,Halimi:Arsim,Candidat_GC
BERLEMONT Alain,Berlemont:Alain,Candidat_GC
GARGANTINI Yves,Gargantini:Yves,Candidat_GC
MAIGRE Maria Inès,Maigre:Maria:Ines,Candidat_GC
FARINHA Horacio,Farinha:Horacio,Candidat_GC
VIDONNE Thierry,Vidonne:Thierry,Candidat_CE_GC
LEITNER André,Leitner:Andre,Candidat_CE_GC
DELACQUIS Cédric,Delacquis:Cedric,Candidat_GC
ZAGATO Sophie,Zagato:Sophie,Candidat_GC
VIDONNE Valérie,Vidonne:Valerie,Candidat_GC
FERRAND Guy,Ferrand:Guy,Candidat_GC
KUNZI Nicolas,Kunzi:Nicolas,Candidat_GC
KUGEL Mark,Kugel:Mark,Candidat_GC
THURNHERR Laurent,Thurnherr:Laurent,Candidat_GC
VIDONNE David,Vidonne:David,Candidat_GC
BEUREUX Silvain,Beureux:Silvain,Candidat_GC
KUNZI Philippe,Kunzi:Philippe,Candidat_GC
FADER Annette,Fader:Annette,Candidat_GC
THURNHERR Sylvain,Thurnherr:Sylvain,Candidat_GC
BEUREUX Johan,Beureux:Johan,Candidat_GC
POGGIA Mauro,Poggia:Mauro,Candidat_CE_GC
GOLAY Roger,Golay:Roger,Candidat_GC
ROCH Ana Belen,Roch:Ana:Belen,Candidat_CE_GC
SORMANNI Daniel,Sormanni:Daniel,Candidat_CE_GC
CERUTTI Thierry,Cerutti:Thierry,Candidat_GC
VOUMARD Jean Marie,Voumard:Jean:Marie,Candidat_GC
LE JONCOUR-BRÜLHART Céline,Le:Joncour Brulhart:Celine,Candidat_GC
BÄRTSCHI François,Bartschi:François,Candidat_GC
PISTIS Sandro,Pistis:Sandro,Candidat_GC
DEROUETTE Jean-Paul,Derouette:Jean Paul,Candidat_GC
MAGNIN Danièle,Magnin:Daniele,Candidat_GC
VALENTIN Francisco,Valentin:Francisco,Candidat_GC
SAPIN Françoise,Sapin:Françoise,Candidat_GC
FLURY Christian,Flury:Christian,Candidat_GC
GOLAY Sandra,Golay:Sandra,Candidat_GC
PYTHON André,Python:Andre,Candidat_GC
RAPPAZ Henry,Rappaz:Henry,Candidat_GC
GANDER Florian,Gander:Florian,Candidat_GC
DECORVET Christian,Decorvet:Christian,Candidat_GC
SONDEREGGER Gabriela,Sonderegger:Gabriela,Candidat_GC
DIMIER Patrick,Dimier:Patrick,Candidat_GC
FONTAINE-VIVE-CURTAZ Jean,Fontaine Vive Curtaz:Jean,Candidat_GC
SAAS Alexandra,Saas:Alexandra,Candidat_GC
ZOGG Thomas,Zogg:Thomas,Candidat_GC
PASCARELLA Louise,Pascarella:Louise,Candidat_GC
FEKKAK Hatem,Fekkak:Hatem,Candidat_GC
ANGELO Antonio,Angelo:Antonio,Candidat_GC
CATTIN Jean-Pascal,Cattin:Jean Pascal,Candidat_GC
BARYEKA Jarek,Baryeka:Jarek,Candidat_GC
REICHENBACH Kevin,Reichenbach:Kevin,Candidat_GC
CHAPOU Frédéric,Chapou:Frederic,Candidat_GC
MADANI Amar,Madani:Amar,Candidat_GC
LEISI Laurent,Leisi:Laurent,Candidat_GC
OUDIN Rémy,Oudin:Remy,Candidat_GC
VILLETTE Jean,Villette:Jean,Candidat_GC
AMBROSIO François,Ambrosio:François,Candidat_GC
TEIXEIRA Albano,Teixeira:Albano,Candidat_GC
FRAUCHIGER Roger,Frauchiger:Roger,Candidat_GC
DELLAGIOVANNA Daniel,Dellagiovanna:Daniel,Candidat_GC
ROULIN Claude,Roulin:Claude,Candidat_GC
COUTO Armando,Couto:Armando,Candidat_GC
NIETO Alexandre,Nieto:Alexandre,Candidat_GC
CHAOUI Laïla,Chaoui:Laila,Candidat_GC
SOTOMAYOR André,Sotomayor:Andre,Candidat_GC
DO REGO Ricardo,Do:Rego:Ricardo,Candidat_GC
VENDRELL Marie,Vendrell:Marie,Candidat_GC
MÉNÉTREY Yasmine,Menetrey:Yasmine,Candidat_GC
ANGELOZ Claude,Angeloz:Claude,Candidat_GC
LAURENT Pierre-Alain,Laurent:Pierre Alain,Candidat_GC
JAHIJA Burim,Jahija:Burim,Candidat_GC
DI SALVO Giuseppe,Di:Salvo:Giuseppe,Candidat_GC
HEIMO Philippe,Heimo:Philippe,Candidat_GC
CHAPPAZ Marc,Chappaz:Marc,Candidat_GC
BARRY Minkailou,Barry:Minkailou,Candidat_GC
CATALAN Joëlle,Catalan:Joëlle,Candidat_GC
REOLON Bruno,Reolon:Bruno,Candidat_GC
ALBANESI Jean-François,Albanesi:Jean François,Candidat_GC
KLINGELE Olivier,Klingele:Olivier,Candidat_GC
BENCKER Jeanne,Bencker:Jeanne,Candidat_GC
MARGUET Tex,Marguet:Tex,Candidat_GC
DELMENICO Janine,Delmenico:Janine,Candidat_GC
SHLYAPINA Elena,Shlyapina:Elena,Candidat_GC
MUDRY Yves,Mudry:Yves,Candidat_GC
GOSTOLI Gérard,Gostoli:Gerard,Candidat_GC
YAU Helen,Yau:Helen,Candidat_GC
INNOCENTI Flavio,Innocenti:Flavio,Candidat_GC
COVER Sabina,Cover:Sabina,Candidat_GC
AMBORD Cédric,Ambord:Cedric,Candidat_GC
GARCIA Javier,Garcia:Javier,Candidat_GC
BELCASTRO DE LUCA Nathalie,Belcastro:De:Luca:Nathalie,Candidat_GC
ZBINDEN Jean-Luc,Zbinden:Jean Luc,Candidat_GC
AHDAB Ahmad,Ahdab:Ahmad,Candidat_GC
BAIUNCO Aurora,Baiunco:Aurora,Candidat_GC
OLIVEIRA Rui,Oliveira:Rui,Candidat_GC
PASTORE Daniel,Pastore:Daniel,Candidat_GC
DRASKOVIC Rada,Draskovic:Rada,Candidat_GC
HAYMOZ William,Haymoz:William,Candidat_GC
BESSE Muriel,Besse:Muriel,Candidat_GC
NAINE Marie-Josée,Naine:Marie Josee,Candidat_GC
GHARBI Mohamed,Gharbi:Mohamed,Candidat_GC
LOOSLI Bertille,Loosli:Bertille,Candidat_GC
EMONET Sarah,Emonet:Sarah,Candidat_GC
MÜLLER Olivier,Muller:Olivier,Candidat_GC
LODDO Olivier,Loddo:Olivier,Candidat_GC
BEN CHAABANE Salah,Ben:Chaabane:Salah,Candidat_GC
DE OLIVEIRA NUNES Vitor,De:Oliveira:Nunes:Vitor,Candidat_GC
MARTIGNONI Alain,Martignoni:Alain,Candidat_GC
MARÉCHAL Christophe,Marechal:Christophe,Candidat_GC
SPAGNOLO Salvatore,Spagnolo:Salvatore,Candidat_GC
PIERRE TOUSSAINT Sircee,Pierre:Toussaint:Sircee,Candidat_GC
STEINER Christian,Steiner:Christian,Candidat_GC
BEUN Christine,Beun:Christine,Candidat_GC
BISSAT Rose,Bissat:Rose,Candidat_GC
GUISY Milène,Guisy:Milene,Candidat_GC
MARTIN Emmanuel,Martin:Emmanuel,Candidat_GC
DUSSAN Julien,Dussan:Julien,Candidat_GC
BONVIN Philippe,Bonvin:Philippe,Candidat_GC
SAUSER Nicolas,Sauser:Nicolas,Candidat_GC
RYSER Alain,Ryser:Alain,Candidat_GC
MONNEY Armand,Monney:Armand,Candidat_GC
PEYRAUD Alexandre,Peyraud:Alexandre,Candidat_GC
HÄUSERMANN Elisabeth,Hausermann:Elisabeth,Candidat_GC
GAUTROT Maria Magdalena,Gautrot:Maria:Magdalena,Candidat_GC
FONTANA Jérôme,Fontana:Jerome,Candidat_CE_GC
PIGUET Frédéric,Piguet:Frederic,Candidat_GC
WUARIN Marc,Wuarin:Marc,Candidat_GC
SAMIM FIROUZSALARI Atefeh,Samim:Firouzsalari:Atefeh,Candidat_GC
BUSTAMANTE HERNANDEZ Eric,Bustamante:Hernandez:Eric,Candidat_GC
HAMOIR Fursy,Hamoir:Fursy,Candidat_GC
PREISIG Robert,Preisig:Robert,Candidat_GC
JEANMONOD Christian,Jeanmonod:Christian,Candidat_GC
MEYLAN Jean Michel,Meylan:Jean:Michel,Candidat_GC
CORI Claudio,Cori:Claudio,Candidat_GC
WITTWER Christoph,Wittwer:Christoph,Candidat_GC
BESOMI Alessandro,Besomi:Alessandro,Candidat_GC
RITTER Sven,Ritter:Sven,Candidat_GC
DUVNJAK Sanja,Duvnjak:Sanja,Candidat_GC
FRAMMERY Chloe,Frammery:Chloe,Candidat_GC
FOUDA AMOUGOU Charlotte,Fouda:Amougou:Charlotte,Candidat_GC
SCHELLER Gérard,Scheller:Gerard,Candidat_GC
ROSSELLAT Blaise,Rossellat:Blaise,Candidat_GC
DACHROUNE Samir,Dachroune:Samir,Candidat_GC
BULT Christoph,Bult:Christoph,Candidat_GC
MONSHENGWO Jessica,Monshengwo:Jessica,Candidat_GC
LOPEZ Julien,Lopez:Julien,Candidat_GC
FRAUDEAU Delphine,Fraudeau:Delphine,Candidat_GC
ABESSE Hayet,Abesse:Hayet,Candidat_GC
GOLAY Séverine,Golay:Severine,Candidat_GC
JORDAN Claude,Jordan:Claude,Candidat_GC
REGAMEY Murielle,Regamey:Murielle,Candidat_GC
SCHUCANI Grégoire,Schucani:Gregoire,Candidat_GC
AMBERGER Axel,Amberger:Axel,Candidat_CE
AYMON Paul,Aymon:Paul,Candidat_CE
CRETEGNY Willy,Cretegny:Willy,Candidat_CE
AMSLER Susanne,Amsler:Susanne,Candidat_CE
